notebook,start,page,title,details
6,12-2017,36,"Voltage budget - pareto and principle of least coordination","NA"
6,12-2017,39,"Voltage budget - small circuit design","Use principle of least coordination to design small circuits that naturally have min oscillation error"
6,12-2017,40,"Counterfactual fairness","Use weak non-interchangeability ro establish an equality gradient"
6,12-1017,51,"Divergent agents?","Study multi-agent learning where at least one agent is using extreme policies or an anti-policy compared to the group. Can we define optimally useful divergent agents; TLDR its my life story."
6,12-1017,52,"Drivers and modulators in network science","Some nodes are for modulation some are for computation/weight learning. Study evo of these systems to optimal function. Tri-partite learning model?"
6,12-1017,54 ,"Bassett meeting note","A lot of ideas here...."
6,12-1017,62,"Consensus RDD? - hoy to turn the i->j causality problem into the A->B one.","A pretty complete initial derivation of using RDD in networks. Several sets of related notes follow this entry"
6,12-1017,71 ,"Consensus RDD? - windows of","Oscillations too?!"
6,12-1017,72,"A Kumamoto model with bursting oscillators","NA"
6,12-1017,72,"Information flow across balanced topologies","Use network/info tools to study information flow across balanced circuits. This is not well studied for some reason?"
6,12-1017,74,"A Kumamoto model with bursting oscillators (continued)","Search for connectivities that support rapid but incomplete sync drive by whatever bursts are around?"
6,12-1017,76,"Consensus RDD? - more","NA"
6,12-1017,78,"Learning to learn locally","NA"
6,12-1017,78,"Loss function dynamics","What if loss functions are a dynamical system that had to be learned in neuroscience? The dynamics here are by polynomial expansion."
6,12-2017,83,"Voltage budget - principle of least coordination, implementation notes","NA"
6,12-2017,89,"Voltage budget - principle of least coordination, proof notes","NA"
6,12-1017,90,"Consensus RDD? - framing","NA"
6,12-2017,95,"Voltage budget - principle of least coordination, proof notes","NA"
6,12-2017,99,"Build your own brainwave - talk notes","NA"
6,12-1017,100,"Consensus RDD? - as a dynamical system?","Huh"
6,12-1017,101,"Consensus RDD? - framing","NA"
6,12-2017,107,"Voltage budget - principle of least coordination, proof notes","NA"
6,12-2017,"NA","Build your own brainwave - talk notes","NA"
6,12-2017,"NA","Random search with early stopping - a great metaphor for biological learning","NA"
6,12-2017,"NA","Voltage budget - draft","NA"
6,12-2017,"NA","The chaos inside cortical gamma - draft and reframe for syncological","NA"
6,12-2017,"NA","Voltage budget - draft","NA"
5,12-2017,"NA","Social networks and the principle of least coordination","Some speculations for group dynamics in general (last page in this notebook)"
7,4-2018,1,"Are self-org oscillations always pathological?","How much VB does doing PING, for example, take?"
7,4-2018,3,"Burst and homeostasis","Beginning to think about implementation"
7,4-2018,7,"Homeostasis literature review","NA"
7,4-2018,15,"Social networks and the principle of least coordination","NA"
7,4-2018,17,"Information flow across balanced topologies, revisited","NA"
7,4-2018,23,"Homeostasis and oscillation (HHH), math and notes","NA"
7,4-2018,32,"The chaos inside cortical gamma - experimental plan, notes","NA"
7,4-2018,51,"Tim plans, co-op AI and coordination dynamics","NA"
7,4-2018,51,"What should a machine learn about its human?","NA"
7,4-2018,54,"What should a machine learn about its human?, division of labor","NA"
7,4-2018,54,"HHH - framing","NA"
7,4-2018,61,"Stumbler-strategist, notes on Alps","NA"
7,4-2018,67,"Generalizing einsum notation","Some very random ideas...."
7,4-2018,70,"Gates and Gates","Synapses as gates. Networks as gates. Somewhere in there is computation?"
7,4-2018,71,"HHH - framing","NA"
7,4-2018,78,"Why the basal ganglia?","First set of small notes on BG and evolution and AI"
7,4-2018,79,"Policy gradient, notes","NA"
7,4-2018,87,"REINFORCE, notes","NA"
7,4-2018,91,"HHH - framing","NA"
7,4-2018,95,"HHH - implementation design","NA"
7,4-2018,101,"What use is theory? Or how to make ANNs tell us simple things","A way to make ANNs do theory by first making them learn heuristics"
7,4-2018,107,"Kinds of information games. Or, academic games.","NA"
8,4-2018,1,"SZ review response","NA"
8,4-2018,5,"Deep accumulator models","NA"
8,4-2018,13,"Differential basal ganglia","The initial notes"
8,4-2018,19,"Voltage budget, elife reviews","NA"
8,4-2018,23,"Auto-theory","NA"
8,4-2018,28,"Making a heuristic pool?","NA"
8,4-2018,33,"Stumbler-strategist interactions in Wytthoffs","NA"
8,4-2018,39,"Wythoffs, notes","NA"
8,4-2018,39,"Azad aims, notes","NA"
8,4-2018,41,"Synthetic opponent?","Huh?"
8,4-2018,43,"Phase gating and VB","NA"
8,4-2018,47,"Azad: make a game theory detector","Develop an alg that finds states in big video games that are locally game theory-esque. In these cases it finds the Nash automagically"
8,4-2018,49,"Cortex, BG, accumulation, some AI notes","NA"
8,4-2018,50,"DeepMind, ForTheWin, notes","An alg that shifts from individual top group rewards as play improves. Neat and simple."
8,4-2018,51,"Creating an evidence field?","How to define continuous Accumulator spaces."
8,4-2018,58,"Defining a theory detector?","Use temporal invariance to learn state-space invariances"
8,4-2018,63,"Cooperation and competition!","Often those who want to kill you also teach you, by example."
8,4-2018,63,"Action only representations (AA)","The world wants to kill me! Treat the world as an agent that you are in zero sum game with. If you win, the world looses?"
8,4-2018,85,"Game theory, notes","NA"
8,4-2018,91,"Players on U","A long winded way to re-invent stacking actions/states during multiagent play"
8,4-2018,95,"The cost of friendship, more on Cooperation and competition!","NA"
8,4-2018,111,"Action fields or flow","NA"
8,4-2018,113,"Learning leapfrog","Where I slowly come to terms with multiagent play training"
8,4-2018,120,"The cost of friendship, more on that","NA"
8,4-2018,128,"Heuristic and ANNs, where to go?","What does a new but fundamental result in learning heuristics look like? What is a big result?"
8,4-2018,137,"Valuable information, notes","The real beginning of the dilemma work...."
8,4-2018,139,"AA representations","NA"
8,4-2018,140,"Valuable information and curiosity","NA"
8,4-2018,141,"Curiosity helper","NA"
8,4-2018,143,"Waves and games","Loose speculation about links between coordination in oscillations and multi-agent games"
8,4-2018,157,"Accumulation, with urgent states","The accumulator model I plated with was state-less (pi(a)). Here I used urgency to add state dependence."
8,4-2018,159,"SLAC professor pitch","NA"
8,4-2018,161,"The equilibrium of information","Speculation about equilibrium play in pure information games"
8,4-2018,161,"Selective amplification in action","Huh"
8,4-2018,169,"Azad, next directions","NA"
8,4-2018,171,"Action channels, fields, urgency(s) and the basal ganglia","NA"
9,9-2018,1,"Evolve-able heuristics?","NA"
9,9-2018,3,"Quantal net topologies?","Search topologies for some performance on the task first, the add weights and train those for final performance"
9,9-2018,6,"Heuristics end 2 end?","NA"
9,9-2018,7,"Distributed RDD?","NA"
9,9-2018,13,"Dirac task, definition and notes","NA"
9,9-2018,17,"Evo games and pareto solution","An alg to try and find them...."
9,9-2018,21,"Differential games, note","On a deepmind paper"
9,9-2018,25,"Basal ganglia slackness, notes and a talk with Kyle","NA"
9,9-2018,27,"Experimental complexity, notes","NA"
9,9-2018,29,"Multi-agents and non-stationarity","NA"
9,9-2018,31,"Differential games, with reward info","Defines games where information is the only value, but it is zero sum."
9,9-2018,43,"Experimental complexity, notes","NA"
9,9-2018,49,"Modulation and break constraints","Use binary neural weights for circuits, but real valued continuous field for modulation of excitability. A silly crude model to see how far modulation with a circuit prior can go in learning"
9,9-2018,51,"To transfer, challenge!","NA"
9,9-2018,53,"Modulation and break constraints, more","NA"
9,9-2018,57,"Growing ANNs like development","A very detailed algorithm"
9,9-2018,63,"Actionflow, restart project","NA"
9,9-2018,65,"Information games, simulation idea","NA"
9,9-2018,71,"To transfer, challenge!","More on challenge layers."
9,9-2018,72,"Information games, policy passing","As an alternate and complementary way to maximize information value."
9,9-2018,81,"Learning by random memories","NA"
9,9-2018,87,"To transfer, challenge!","NA"
9,9-2018,93,"CoE task plan","NA"
9,9-2018,94,"Policy passing, an algorithm","NA"
9,9-2018,97,"Dirac task, more","NA"
9,9-2018,99,"Backprop with accumulation, notes","NA"
9,9-2018,106,"Notes on MSRPT","NA"
9,9-2018,114,"Information games, zero sum, remembering and forgetting","NA"
9,9-2018,123,"Human agent teaming and trust, CoE","NA"
9,9-2018,125,"Good and bad, deeply","NA"
9,9-2018,126,"Challenge layers, more","NA"
9,9-2018,128,"CoE and Pareto","NA"
9,9-2018,129,"Differential ethical change","NA"
9,9-2018,133,"Information agents, frame, pitch","NA"
9,9-2018,134,"Information games, memory notes","NA"
9,9-2018,144,"Artificial glia networks","NA"
9,9-2018,147,"N neurons are N agents","NA"
9,9-2018,151,"Simple random memories","NA"
9,9-2018,155,"Artificial glia networks","NA"
9,9-2018,164,"Action smooth","NA"
9,9-2018,168,"Action smooth","NA"
9,9-2018,186,"Modulation and break constraints, more","NA"
10,10-2018,1,"f(), self-org and Kumamoto","Can we use K models a simple way to study coord/comp dynamics?"
10,10-2018,9,"Pruning glia","NA"
10,10-2018,10,"Median + Skew divided by 2","A simple metric of AI or RL performance that balances our need to know the extrema and the mode"
10,10-2018,11,"Glia as a meta-learner","NA"
10,10-2018,12,"I and I","NA"
10,10-2018,13,"Norm I","NA"
10,10-2018,18,"Rational exploration (info value)","NA"
10,10-2018,20,"Glia net, skip layers","NA"
10,10-2018,27,"Oscillatory modulation and traveling waves","A dogma in doubt?"
10,10-2018,31,"Trying to live and learn","Something about lock and key development. Huh."
10,10-2018,40,"Astrocyte facts","NA"
10,10-2018,41,"Learning linear strategies","NA"
10,10-2018,46,"HHH, experimental planning",NA
10,10-2018,50,"Glia as meta-plasticity","NA"
10,10-2018,56,"HHH, tau_m experiments","NA"
10,10-2018,59,"Information games, chalk talk","NA"
10,10-2018,64,"Science of learning, notes","NA"
10,10-2018,69,"Notes on Jill O'Reilly paper","NA"
10,10-2018,71,"Information games, Kyle chat","NA"
10,10-2018,77,"Modes of oscillation","Thoughts on VB paper 2 (which will never happen)"
10,10-2018,80,"Optimal oscillations","...Some meanderings"
10,10-2018,85,"Stupid projections","Like random projections, but too simpler numbers and lower dimensions. Binary, trinary, etc. ....Stupid projection are a locality sensitive hash?"
10,10-2018,87,"Perturbing pools","Playing with a weird random noise in random CNN paper"
10,10-2018,91,"Information games, policies and info bandits","NA"
10,10-2018,99,"Neuromodulatory networks","NA"
10,10-2018,107,"Ordinary meta-learning","Metalearning using neural ODEs; fast slow learning dynamics"
10,10-2018,111,"Other topologies for Glia networks","NA"
10,10-2018,116,"Notes on Wolport (Information meaning paper)","Mutual information and coarse graining is somehow the answer?"
10,10-2018,124,"Information games, framing","NA"
10,10-2018,125,"The XR center, notes before and after the initial meeting","NA"
10,10-2018,135,"Learn 2 learn, as coupled ODEs","NA"
10,10-2018,139,"Information games, framing","NA"
10,10-2018,141,"NEAT w/ canonical microcircuits","NA"
10,10-2018,147,"Science of learning grant, objectives","NA"
10,10-2018,153,"2LM and chemical kinetics","Another ANN scheme that does the opposite of what people expect"
10,10-2018,157,"Efficient (min C) evolution and RL","NA"
10,10-2018,159,"Science of learning grant, figures","NA"
10,10-2018,157,"Maxent learning, notes","NA"
11,1-2019,3,"Science of learning, prelim","NA"
11,1-2019,15,"Information value, axioms","Science of learning"
11,1-2019,17,"Infomation value, theory for Obj 1","Science of learning"
11,1-2019,27,"Artificial academic","Alternate E max and memory compression (insight) on an endless loop"
11,1-2019,31,"Information value, paper notes, proof work","NA"
11,1-2019,61,"Information value, evolutionary constraints","Using a mix of objectives to make a more biological learning system"
11,1-2019,63,"Information value, optimal E","NA"
11,1-2019,75,"Information value, Bellman equation","NA"
11,1-2019,81,"Information value, optimal exploration","NA"
11,1-2019,82,"Information value, optimal substructure","An early working"
11,1-2019,87,"Information value, rethinking proof","NA"
11,1-2019,90,"Information value, motivations","NA"
11,1-2019,91,"Information value, a principled renormalization","NA"
11,1-2019,94,"Information value, optimal value","Some quick and pointless thoughts"
11,1-2019,103,"Dynamic programming, notes on Roughgardner","NA"
11,1-2019,111,"Waveform shape as a modulator","Treat the waveform as an optimization problem, targeting excitability, error and synchrony."
11,1-2019,115,"Voltage budget, #2","Huh"
11,1-2019,117,"Proof strategies for greedy algorithms","NA"
11,1-2019,129,"World models versus local functions","What if we viewed neurons as having two goals. Learn a world model. Learn a local function. Use generalized dual value to balance in a single cell?"
11,1-2019,133,"Dynamic programming, proof on optimal completion time","Roughgardner notes"
11,1-2019,135,"Basic facts about loss functions and E","NA"
11,1-2019,141,"If ANN hype dies off, what is next?","A good question from my Mom."
11,1-2019,144,"Dynamic programming, principles of","NA"
11,1-2019,146,"Learning as a knapsack problem","NA"
11,1-2019,156,"Maximizing E, global versus local","NA"
11,1-2019,160,"The logic behind contradiction","Some basic notes"
11,1-2019,162,"Efficient memory and min E","NA"
11,1-2019,164,"No coding","In neurons. Some ideas about a Romain Brette blog post"
11,1-2019,172,"One shot learning and optimal substructure","NA"
11,1-2019,176,"Path max E is sufficient","NA"
11,1-2019,181,"Exploring ones own values","Using E to explore ones own mental states."
12,2-2019,1,"Dilemma, slide notes","NA"
12,2-2019,9,"Theory, science and artificial learning","Not as neat as the title sounds. Its just some paper planning."
12,2-2019,11,"Efficient codes, generalization and forgetting","NA"
12,2-2019,21,"Information value, convexity and loss functions","NA"
12,2-2019,27,"More on E and R","NA"
12,2-2019,33,"Ephys and VB","Testing VB ideas using just ephys. Is this possible?"
12,2-2019,37,"Exploration and generalization","NA"
12,2-2019,39,"Principles of least boredom","...is another way to explain E maximization. I made a theory of boredom too."
12,2-2019,41,"pipi and p()","Proof work on reward probability constraints in information value"
12,2-2019,48,"Local minimum and pi_pi","NA"
12,2-2019,51,"Dual value and self-supervision","Use E to do active sampling in self-supervised learning."
12,2-2019,54,"A world model challenge","A public competition for world model building???"
12,2-2019,54,"Generalized dual value learning","Replace RL with any specific learning goal. With supervised learning."
12,2-2019,58,"Generalized dual value learning, transfer","NA"
12,2-2019,61,"N agents and dual values","NA"
12,2-2019,66,"Neurochemical artificial networks","The beginning of the holes, walls, and gradients formalism. The big idea: chemical processes can have scalar equations but are also always continuous and so easily differentiable"
12,2-2019,72,"Azad, post ICML review","NA"
12,2-2019,74,"Building a beta-VAE one decision at a time","What if we view a beta-VAE as an agent that has to choose and navigate a world or space of data."
12,2-2019,78,"Exploration without reason","Real animals explore familiar spaces, why!?"
12,2-2019,81,"M (memory) and synesthesia","Tangle representation generate exploration broadly. Is just synesthesia too much tangling, revealing memories are tangled and why that is good for exploration and learning"
12,2-2019,83,"What models best answer Eve's question","NA"
12,2-2019,85,"Chaotic computation with learned oscillatory modulation","A working model for oscillations in WM experiments. Use the stability of oscillations to hold onto data, which implicitly is low cost compared to the constant noise of chaos and computation?"
12,2-2019,91,"LNP models and MI loss","A reframing of the old pacological paper to make it publishable, finally"
12,2-2019,96,"E versus f(), adversarial edition","Musings reframing dual learning problems as zero sum games instead"
12,2-2019,98,"Chemical computation, an ANN system","Connectivity as a problem in chemical compartments. Again this world is scalar and continuous and interpretable."
12,2-2019,101,"The benefits of slow learning","Slow learning for E is clearly useful. Some TED talk thoughts on why"
12,2-2019,103,"Max free energy","Sassing Friston winds up interesting"
12,2-2019,108,"Chemical computation, with homeostasis","NA"
12,2-2019,111,"Chemical computation, walls with holes","This idea starts to come together"
12,2-2019,114,"An information fight","Evolution game theory where the agents fight to stay out of both energetic and knowledge equilibrium."
12,2-2019,120,"Generalized dual values and evolutionary game theory","Some very very initial thoughts"
12,2-2019,130,"Evolution game theory in place of NEAT","NA"
12,2-2019,136,"Perturbation and mutation as a meta-problem","NA"
12,2-2019,138,"Dual value and sampling","A first short note recognizing how silly sampling can be."
12,2-2019,139,"Natural limits on reward and E exploration","....Beginning to think about homeostasis"
12,2-2019,141,"Max free energy","NA"
12,2-2019,143,"Off game is always part of the game","First thoughts on open game theory"
12,2-2019,146,"Loss functions and thermodynamics","NA"
12,2-2019,147,"Dilemma, redraft","NA"
12,2-2019,151,"Min and max KL","NA"
12,2-2019,153,"Dual value is combinatorially safe","It is easy and safe to join E with many other biological goals beyond reward"
12,2-2019,158,"Max gain for fixed worlds is always learning death","First real note that info geom is too narrow."
12,2-2019,163,"Breaking Venkat's limit","A first attempt to rethink causality completely for networked systems. This becomes casualty as fluid dynamics."
12,2-2019,166,"KL and general learning progress","NA"
12,2-2019,175,"Two mode bandits and dual values","NA"
12,2-2019,179,"Glia on a donut","NA"
13,5-2019,1,"Testing dual value notes, E versus E+R","NA"
13,5-2019,7,"Pacological rewrite, notes","NA"
13,5-2019,13,"Voltage budget, pathological as the max curve point","NA"
13,5-2019,16,"Off task game theory","Half a page"
13,5-2019,17,"Reversible actions","Dilemma with and without reversible actions? Why do inference?"
13,5-2019,23,"Casual paths and fractional causation","A good mathematical beginning"
13,5-2019,31,"Kyle thoughts on Dilemma","NA"
13,5-2019,33,"fractional causation, in practice","Solid math?"
13,5-2019,35,"Dilemma, notes on Science draft","NA"
13,5-2019,43,"Voltage budget, as a ratio problem","NA"
13,5-2019,47,"XR center - personal world and agents","NA"
13,5-2019,51,"Voltage budget, simplifying the idea","NA"
13,5-2019,57,"Fractional causation","more development of the math. getting solid?"
13,5-2019,69,"Voltage budget, more on the split","NA"
13,5-2019,83,"Dilemma, Figure 1 notes","NA"
13,5-2019,87,"Dilemma, resource allocation","NA"
13,5-2019,92,"Bitjoy bandits","NA"
13,5-2019,96,"Bad actions in RL","RL does not have a notion of trying actions that will lead to disaster, riffing on ideas from Reckt on twitter"
13,5-2019,101,"Distributed causation","More in i->j and A->B"
13,5-2019,107,"Simulations for Dilemma, a plan","NA"
13,5-2019,110,"Bandit search","NA"
13,5-2019,112,"Learning to remember","Use DL ro evolve an ideal memory to max E an max MI and max efficiency, etc"
13,5-2019,114,"Rates, spaces, and jumps","A new kind of scalar-ish model with an idea for spike timing and fast changes. The plan for derivation is especially novel?"
13,5-2019,119,"Biology doing math","Some ideas for the implementation and stability cost of trying to do math with biological parts"
13,5-2019,121,"P is NP by magic","NA"
13,5-2019,122,"NP and few shot?","Huh"
13,5-2019,123,"On task games are unnatural","Some rhetoric for open game theory"
13,5-2019,125,"Biology doing math","NA"
13,5-2019,132,"Bitjoy task, notes","NA"
13,5-2019,134,"Thermodynamics versus information","NA"
13,5-2019,140,"Regret, PAC, learning, and bandits","NA"
13,5-2019,145,"Monte carlo and optimal play","NA"
13,5-2019,146,"Is learning ever really a statistical problem!?","NA"
13,5-2019,148,"Generalized and equivalence","NA"
13,5-2019,150,"Biological theory needs to be a new theory","NA"
13,5-2019,157,"Random, trees and optimal play","In some simple and real games"
13,5-2019,161,"Heuristics as computational complexity extremism","Stupidity is the beginning of elegance and science? No, really."
13,5-2019,173,"Monotone mathematics","How little mathematical consistency can biology get away with from cell to cell."
13,5-2019,177,"Wick World economics","NA"
13,5-2019,182,"Myopic modularity","A nice name for what using myopic deterministic learning and acting get us."
13,5-2019,183,"Learning equilibrium and adversarial dynamics","NA"
13,5-2019,185,"Big Questions, that I would like to work on","NA"
14,7-2019,3,"Dual value, catch phrase","NA"
14,7-2019,5,"E and R, redux","NA"
14,7-2019,11,"Dilemma and reversible actions","NA"
14,7-2019,15,"Dual value and reward homeostasis","NA"
14,7-2019,25,"Corto and PAC learning","NA"
14,7-2019,27,"Homeostasis and inverse RL","NA"
14,7-2019,30,"Glia wave notes","NA"
14,7-2019,31,"Basal ganglia, history and function","NA"
14,7-2019,35,"Dual value and reward homeostasis","AN"
14,7-2019,39,"Why AI","....for neuroscience and theory"
14,7-2019,41,"Wealth as a world model","NA"
14,7-2019,45,"Curiosity is not fundamental?","I got rid of innateness and provided a concrete reason to be curious."
14,7-2019,47,"Biological PAC","A few lines...."
14,7-2019,50,"Marr's excuses","NA"
14,7-2019,51,"Dual value, homeostasis, and game theory","NA"
14,7-2019,53,"EvoDevo PAC","NA"
14,7-2019,56,"Biological concept classes","NA"
14,7-2019,59,"Randomness in action is good when...","Some examples."
14,7-2019,64,"Distributed causation","NA"
14,7-2019,67,"Dual value and lapses","NA"
14,7-2019,69,"Sparse rewards without credit","NA"
14,7-2019,71,"Synthetic intelligence","NA"
14,7-2019,73,"Dilemma, Ax 5 notes","NA"
14,7-2019,77,"Dilemma, Ax 4 notes","NA"
14,7-2019,79,"Modulation and spatial topology do learning","NA"
14,7-2019,81,"Evolution and E","NA"
14,7-2019,87,"More on Axiom 4 (Dilemma)","NA"
14,7-2019,91,"Axiom 5 as an expectation?","NA"
14,7-2019,101,"Real and sign","How do ANNs do if the weights are treated like binary during the forward pass? Generalizing jedi and DFORCE."
14,7-2019,103,"Smoothing sigmoids","More ideas for DFORCE"
14,7-2019,106,"What is memory?","NA"
14,7-2019,107,"Forgetting as the resource limit","in working memory"
14,7-2019,111,"Sequential action circuits","NA"
14,7-2019,117,"A core basis","...of innate circuits to build on (note at CNN)"
14,7-2019,119,"Small circuit evolution","NA"
14,7-2019,121,"Ann's unstructured movements","note at CNN"
14,7-2019,125,"Learning is actually hard?","An exploration for Ann's result"
14,7-2019,129,"Dilemma, notes on comments","NA"
14,7-2019,131,"Breakout session notes, the goals and problems for benchmarks","CCN"
14,7-2019,139,"Working memory and machines","NA"
14,7-2019,140,"Why don't we have utopia?","NA"
14,7-2019,143,"Eve!","notes on her talk at the Bernstien"
14,7-2019,154,"Neural math and Eve's homeostasis.","NA"
14,7-2019,155,"Distributions and dynamics","How many deterministic codes fit under a distribution?"
14,7-2019,157,"Voltage budget, the E50 argument","NA"
14,7-2019,159,"Learning without credit assignment?","NA"
14,7-2019,163,"A game theory of game learning?","...more on open-ended game theory"
14,7-2019,167,"Holes, walls, and Grads","A cell independent way to think about biological learning?"
14,7-2019,171,"A change in stereotype","NA"
14,7-2019,175,"Replay based RL driven by E-explore","NA"
14,7-2019,175,"Faculty wisdom from T and B","NA"
14,7-2019,183,"E-search and dual value","NA"
15,10-2019,1,"Busaki talk (SFN 2019)","Weak and strong tuning. Weak and strong effects. Making more sense of log normal weights and rates"
15,10-2019,8,"Cripsr and dynamic equilibrium","Thoughts on the recent biology as a dyn eq problem. Based on ideas seen during SFN2019"
15,10-2019,9,"Principled eta","Worries and ideas on setting dual values eta driven by a conversation at SFN2019"
15,10-2019,11,"Single neuron swarm","Study multiagent coordination systems where agents are both deep nets and single neurons with complex dendrites"
15,10-2019,14,"Janelia framing","NA"
15,10-2019,17,"Single neuron swarm","NA"
15,10-2019,22,"Dual value meet information geometry","NA"
